YEAR,STATE,Health_Score
2019,OH,-7.362560692794888
2019,OK,-7.472535511990114
2019,OR,2.778004482970378
2019,PA,0.09467384724988784
2019,RI,3.0736110225673765
2019,SC,-5.888039593563809
2019,SD,-3.55798402581705
2019,TN,-10.12339249259989
2019,TX,7.738149659912141
2019,UT,10.404596932813291
2019,VT,0.8746586596211645
2019,VA,8.411152264940583
2019,WA,7.5068148358380204
2019,WV,-15.622294545652135
2019,WI,-0.27659318175086345
2019,WY,-6.793681496845009
2018,AL,-6.492504773992767
2018,AK,-4.359738538125097
2018,AZ,5.148008786909768
2018,AR,-7.434905562045815
2018,CA,15.13379516808753
2018,CO,5.137047376792003
2018,CT,10.257679165664172
2018,DE,-1.5523779937718434
2018,FL,2.7244891149956216
2018,GA,-0.17052144967432478
2018,HI,8.735249420796656
2018,ID,1.863158033084433
2018,IL,1.216734860082745
2018,IN,-2.614411105510834
2018,IA,3.3217611981772928
2018,KS,0.5388772909809669
2018,KY,-9.19441337815254
2018,LA,-12.707744752776986
2018,ME,-1.7342155070971457
2018,MD,3.7811551900518596
2018,MA,9.118645930191756
2018,MI,-1.755464840371373
2018,MN,6.915489461775746
2018,MS,-8.614215516896202
2018,MO,-7.426346535630402
2018,MT,-4.995938863890336
2018,NE,4.23850167230113
2018,NV,-3.396796480721189
2018,NH,0.3156471343152927
2018,NJ,10.551661948059637
2018,NM,-2.806303549745025
2018,NY,13.455666592679357
2018,NC,-0.5583888433921478
2018,ND,-1.1947841100433927
2018,OH,-7.316020046257598
2018,OK,-5.588225705701417
2018,OR,7.242767286463254
2018,PA,-0.8681469462649163
2018,RI,6.069533422979798
2018,SC,-6.113215524393212
2018,SD,-1.413978514238122
2018,TN,-6.940577839597009
2018,TX,6.047210663533005
2018,UT,11.07398598140463
2018,VT,-1.0886374653222761
2018,VA,6.705641607552386
2018,WA,9.06328753608397
2018,WV,-13.480135400175598
2018,WI,-0.42973074611816053
2018,WY,-1.5498995865495604
2017,AL,-2.3798131539510967
2017,AK,-5.919041389235657
2017,AZ,4.3451442141046694
2017,AR,-5.315405066600252
2017,CA,10.367381440440964
2017,CO,2.62545893294177
2017,CT,5.444915653390197
2017,DE,-1.2340311830734372
2017,FL,1.4025794182197935
2017,GA,1.287892370017903
2017,HI,4.313611950411347
2017,ID,0.9779571202212577
2017,IL,0.20052300288336292
2017,IN,-1.6501410938514163
